grupo;Z-score Geral;Z-score_Icms;Z-score_Empresas;Z-score_Empregos;_QuocienteLocacional;_EmpresasRS;;;;
COLETA DE RESÍDUOS;3.048.013.043.767.580;-0.1831334316101885;21.071.963.889.544.400;11.465.527.658.131.100;0.9110558613229459;1143;;;;
ENSINO MÉDIO;30.202.476.719.056.400;-0.18551210289219378;20.800.957.687.008.700;29.703.100.374.081.500;0.32925813232861123;120;;;;
ACABAMENTOS EM FIOS; TECIDOS E ARTEFATOS TÊXTEIS;30.075.694.525.389.800;-0.13319302084424556;30.707.134.519.767.000;2.013.907.224.314.990;0.9181898852779364;1662;;;
EDIÇÃO INTEGRADA À IMPRESSÃO DE LIVROS; JORNAIS; REVISTAS E OUTRAS PUBLICAÇÕES;29.456.173.793.378.200;-0.1491675772877688;13.070.502.344.985.600;6.172.706.947.200.830;17.927.875.918.598.300;712;;
TELECOMUNICAÇÕES POR FIO;29.417.966.482.288.100;28.899.139.821.979.900;1.813.871.348.573.860;123.870.552.296.778;0.7796031003814337;985;;;;
FABRICAÇÃO DE PRODUTOS DERIVADOS DO PETRÓLEO;28.743.544.478.269.500;26.145.331.857.483.500;0.2236081713554711;2.458.408.758.825.730;0.625218037036498;20;;;;
ATIVIDADES RELACIONADAS À ORGANIZAÇÃO DO TRANSPORTE DE CARGA;26.867.085.851.521.600;-0.06729378168743094;15.521.065.973.481.600;6.291.963.456.459.810;13.299.612.418.385.100;844;;;;
PRODUÇÃO FLORESTAL - FLORESTAS PLANTADAS;26.649.827.220.010.700;-0.11182026140959817;20.199.414.718.792.000;11.426.498.255.100.900;0.7591878002312978;1096;;;;
FABRICAÇÃO DE EMBALAGENS DE PAPEL; CARTOLINA; PAPEL-CARTÃO E PAPELÃO ONDULADO;2.536.291.574.890.990;0.6920418430012582;7.890.901.948.392.000;1.428.214.957.681.130;13.165.445.974.416.400;433;;
FABRICAÇÃO DE PRODUTOS DIVERSOS DE PAPEL; CARTOLINA; PAPEL-CARTÃO E PAPELÃO ONDULADO;24.592.143.126.183.300;0.4670956936445378;20.236.544.470.738.900;6.096.816.441.308.750;0.8908749721227359;1098;;
FABRICAÇÃO DE PRODUTOS CERÂMICOS;24.545.191.439.096.900;0.34016862603370557;16.839.172.167.596.800;7.044.363.614.875.550;10.190.916.172.951.400;915;;;;
ATIVIDADES DE RÁDIO;2.450.986.514.374.320;-0.18312618666298394;10.972.671.359.985.300;9.342.761.793.321.320;1.398.950.996.843.240;599;;;;
LOCAÇÃO DE MÃO DE OBRA TEMPORÁRIA;24.126.824.853.329.100;-0.18544671513422978;3.806.629.234.232.100;217.541.119.569.285;0.6720275220213116;213;;;;
FABRICAÇÃO DE INSTRUMENTOS E MATERIAIS PARA USO MÉDICO E ODONTOLÓGICO E DE ARTIGOS ÓPTICOS;2.349.588.329.474.190;0.0771451797167116;12.717.769.701.490.000;6.860.058.100.566.220;13.020.113.119.770.400;693;;;;
PROCESSAMENTO INDUSTRIAL DO FUMO;2.303.580.233.837.240;-0.0842139243809295;0.650600318744915;8.011.425.489.957.450;23.222.538.227.374.600;43;;;;
ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA NÃO ESPECIFICADAS ANTERIORMENTE;21.715.939.631.827.300;-0.18536291172350355;14.797.035.810.516.900;71.397.688.222.827.300;0.9976007296526539;805;;;;
LOCAÇÃO DE MEIOS DE TRANSPORTE SEM CONDUTOR;2.165.130.512.698.120;-0.1836171150261913;24.395.076.688.792.600;4.054.277.682.727.700;0.7288620071216381;1322;;;;
FABRICAÇÃO DE SABÕES; DETERGENTES; PRODUTOS DE LIMPEZA; COSMÉTICOS; PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;2.143.936.180.883.670;0.6185099660711109;985.877.880.157.814;7.547.409.253.931.600;1.346.357.683.439.380;539
FABRICAÇÃO DE CONSERVAS DE FRUTAS; LEGUMES E OUTROS VEGETAIS;2.127.268.523.831.550;0.37889331095406703;13.794.532.507.950.400;10.053.964.248.538.500;0.7858060918393218;751;;;
FABRICAÇÃO DE MÁQUINAS-FERRAMENTA;2.065.540.332.982.280;0.09237027427538948;39.551.482.420.197.400;1.094.947.221.806.500;2.430.644.883.381.950;221;;;;
FABRICAÇÃO DE EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA;19.965.943.309.872.500;0.16758262321327347;5.458.903.195.869.520;9.013.180.167.732.870;1.975.704.666.660.320;302;;;;
ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS NÃO ESPECIFICADAS ANTERIORMENTE;19.598.458.733.132.700;-0.18442343410391265;-0.14768934811361054;19.930.571.515.350.200;;;;;;
CAPTAÇÃO; TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;19.520.780.125.703.100;-0.18262050188034812;10.775.924.661.343.500;195.554.555.862.266;0.13729220090748334;66;;;
PRODUÇÃO DE LAVOURAS PERMANENTES;1.901.090.612.400.410;-0.16657351817896804;5.588.857.327.683.700;18.943.994.938.753.200;0.04177682301412419;309;;;;
FABRICAÇÃO DE MOTORES; BOMBAS; COMPRESSORES E EQUIPAMENTOS DE TRANSMISSÃO;1.818.446.025.982.250;0.6693603397628349;3.639.545.350.471.020;11.040.540.825.135.500;17.789.472.231.981.600;204;;
FUNDIÇÃO;17.719.462.149.967.600;0.18062486845255873;3.435.331.714.763.020;11.469.864.258.467.800;17.666.337.713.375.200;193;;;;
ATIVIDADES DE SERVIÇOS FINANCEIROS NÃO ESPECIFICADAS ANTERIORMENTE;1.740.769.243.636.890;-0.1856769318090135;1.617.083.663.255.250;26.535.557.739.767.800;0.9238738807197369;879;;;;
FABRICAÇÃO DE COMPONENTES ELETRÔNICOS;17.354.580.840.753.200;0.09580752217345051;358.385.072.255.066;8.718.291.344.837.940;23.830.462.357.158.300;201;;;;
FABRICAÇÃO DE PRODUTOS QUÍMICOS INORGÂNICOS;1.688.236.252.801.940;14.994.368.943.509.800;3.769.499.482.285.200;10.752.156.902.745.600;12.284.837.158.580.800;211;;;;
GESTÃO DE ATIVOS INTANGÍVEIS NÃO FINANCEIROS;16.761.519.454.057.400;-0.18553149049487822;11.622.442.019.056.200;2.230.737.241.149.490;12.661.980.743.181.000;634;;;;
SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO;16.480.091.527.372.200;-0.1855148097204718;2.488.523.040.116.860;1.624.879.782.950.030;0.16749232411074913;142;;;;
FABRICAÇÃO DE BEBIDAS NÃO ALCOÓLICAS;16.126.451.715.178.300;4.745.969.753.971.480;3.323.942.458.922.300;7.944.208.184.738.750;10.337.946.035.269.700;187;;;;
ATIVIDADES DE CORREIO;15.247.392.437.242.200;-0.17865604835622842;25.813.474.199.841.300;14.809.046.517.719.200;0.23902321830163498;147;;;;
DESIGN E DECORAÇÃO DE INTERIORES;14.884.014.233.113.500;-0.18443304465860139;13.386.105.236.534.400;0.24023768660872577;11.077.314.371.242.900;729;;;;
FABRICAÇÃO DE APARELHOS E INSTRUMENTOS DE MEDIDA;" TESTE E CONTROLE; CRONÔMETROS E RELÓGIOS";14.836.546.090.248.800;0.011840523041267707;40.294.077.459.135.500;510.590.326.437.506;24.119.679.406.207.800;225;;;
PLANOS DE SAÚDE;14.774.764.467.019.600;-0.1856734145926609;2.692.736.675.824.860;12.638.578.049.205.800;0.8622676896897927;153;;;;
SELEÇÃO E AGENCIAMENTO DE MÃO DE OBRA;14.626.085.519.082.200;-0.1856769318090135;7.853.772.196.445.090;511.457.646.504.844;12.347.169.924.577.200;431;;;;
FABRICAÇÃO DE PRODUTOS E PREPARADOS QUÍMICOS DIVERSOS;13.949.361.111.360.100;0.6295373184484006;5.254.689.560.161.520;6.031.767.436.258.400;1.386.962.307.327.870;291;;;;
FABRICAÇÃO DE CAMINHÕES E ÔNIBUS;13.680.250.863.265.300;0.03269036884824224;0.205043295382017;12.788.190.760.821.600;4.191.162.320.105.930;19;;;;
FABRICAÇÃO DE ÓLEOS E GORDURAS VEGETAIS E ANIMAIS;13.356.984.104.492.800;0.10627158548175614;21.357.903.966.212.400;815.236.500.089.988;23.871.010.592.503.100;123;;;;
FABRICAÇÃO DE EQUIPAMENTOS E APARELHOS ELÉTRICOS NÃO ESPECIFICADOS ANTERIORMENTE;13.239.692.365.011.400;0.05599216647327719;408.510.237.383.392;4.572.501.422.962.170;21.079.517.690.261.200;228;;;;
OUTRAS ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO;13.015.992.773.294.500;-0.1844554642491827;1.572.527.960.918.960;11.075.577.539.467.500;0.7690095682960119;855;;;;
EDUCAÇÃO PROFISSIONAL DE NÍVEL TÉCNICO E TECNOLÓGICO;12.608.709.505.471.800;-0.18561599453477615;5.217.559.808.214.610;9.607.294.413.859.420;0.6108278971962045;289;;;;
ATIVIDADES DE ORGANIZAÇÕES SINDICAIS;11.978.422.494.257.000;-0.17637968074164748;-0.14768934811361054;12.302.491.523.112.300;;;;;;
FABRICAÇÃO DE VIDRO E DE PRODUTOS DO VIDRO;1.141.692.139.174.300;0.22846196289223955;4.307.880.885.515.360;5.528.721.797.202.340;13.138.101.498.299.200;240;;;;
SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE;11.384.716.093.006.900;-0.18554498328439806;10.879.846.980.118.100;0.23590108627203565;10.417.756.803.686.400;594;;;;
ATIVIDADES AUXILIARES DOS TRANSPORTES AQUAVIÁRIOS;11.241.427.671.570.900;-0.18522093197714273;4.549.224.273.170.270;6.328.824.559.321.670;11.205.919.379.028.100;253;;;;
TESTES E ANÁLISES TÉCNICAS;10.728.703.270.631.700;-0.1695478415261132;640.571.187.051.568;3.590.261.446.701.850;11.408.551.950.476.200;353;;;;
ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS PATRONAIS; EMPRESARIAIS E PROFISSIONAIS;982.034.794.281.122;-0.18566876535754906;-0.14768934811361054;1.015.370.605.628.230;;;;;
FABRICAÇÃO DE EQUIPAMENTO BÉLICO PESADO; ARMAS E MUNIÇÕES;9.486.913.140.768.310;-0.002974461086575572;0.09365403954129252;9.136.773.277.328.540;3.770.412.106.683.990;13;;;
COMÉRCIO ATACADISTA DE EQUIPAMENTOS E PRODUTOS DE TECNOLOGIAS DE INFORMAÇÃO E COMUNICAÇÃO;9.472.065.700.370.140;0.04948524862825543;7.519.604.428.922.920;2.770.643.983.067.420;0.8846125526349351;413;;;;
TELECOMUNICAÇÕES SEM FIO;9.275.648.318.508.420;14.471.049.259.020.400;30.269.044.433.470.300;40.824.655.849.161.800;1.237.593.679.550.680;171;;;;
METALURGIA DOS METAIS NÃO FERROSOS;8.581.368.714.305.950;-0.1298410894553234;30.454.693.193.204.900;1.885.977.514.382.630;22.411.101.783.489.600;172;;;;
FABRICAÇÃO DE AUTOMÓVEIS; CAMIONETAS E UTILITÁRIOS;8.437.898.936.205.810;2.769.669.187.526.390;0.11221891551474661;5.535.226.697.707.380;11.852.106.248.037.800;14;;;
SIDERURGIA;8.420.650.721.480.800;0.8349488632484692;0.9847680862670884;6.448.081.068.580.650;1.155.216.954.647.660;61;;;;
FABRICAÇÃO DE ELETRODOMÉSTICOS;8.273.329.940.945.370;-0.06432686344681275;1.578.844.117.417.610;4.687.421.331.884.460;23.119.669.840.985.300;93;;;;
ATIVIDADES DE APOIO À PRODUÇÃO FLORESTAL;78.481.418.444.561.600;-0.18565850511702114;4.846.262.288.745.530;3.245.501.719.934.990;0.9880395125864422;269;;;;
FORNECIMENTO E GESTÃO DE RECURSOS HUMANOS PARA TERCEIROS;7.794.807.229.823.670;-0.1856769318090135;13.931.953.576.830.700;6.868.731.301.239.600;0.7979877726853498;83;;;;
PESQUISA E DESENVOLVIMENTO EXPERIMENTAL EM CIÊNCIAS FÍSICAS E NATURAIS;7.621.368.575.764.600;-0.18401912175725074;4.957.651.544.586.260;2.887.732.192.158.050;0.9919324626059823;275;;;;
FABRICAÇÃO DE PRODUTOS QUÍMICOS ORGÂNICOS;7.538.038.940.813.200;16.439.045.543.602.700;1.151.851.970.028.170;4.026.089.780.539.210;1.621.774.893.407.540;70;;;;
ESGOTO E ATIVIDADES RELACIONADAS;7.235.652.863.183.880;-0.1856481605440138;5.328.949.064.055.340;14.132.880.776.834.000;11.274.292.311.348.100;295;;;;
ATIVIDADES DE ASSISTÊNCIA PSICOSSOCIAL E À SAÚDE A PORTADORES DE DISTÚRBIOS PSÍQUICOS; DEFICIÊNCIA MENTAL E DEPENDÊNCIA QUÍMICA;7.173.157.591.015.720;-0.1856769318090135;4.790.567.660.825.170;27.207.730.791.954.800;0.9681653140100619;266;;;
FABRICAÇÃO DE TINTAS; VERNIZES; ESMALTES; LACAS E PRODUTOS AFINS;70.612.997.589.182;0.9422548206331628;2.432.828.412.196.500;3.431.975.534.412.660;1.104.504.284.149.780;139;
RECONDICIONAMENTO E RECUPERAÇÃO DE MOTORES PARA VEÍCULOS AUTOMOTORES;6.688.521.381.498.230;-0.1829387861399548;5.978.719.723.126.230;10.576.868.500.748.100;0.9724110824387978;330;;;;
SEGUROS DE VIDA E NÃO VIDA;6.607.463.244.410.660;-0.1856769318090135;32.868.127.069.753.900;28.118.416.862.659.700;12.112.946.020.637.000;185;;;;
PRODUÇÃO DE SEMENTES E MUDAS CERTIFICADAS;65.767.801.704.188.800;-0.0873006403017461;2.729.866.427.771.770;510.590.326.437.506;0.5707889332949594;155;;;;
ATIVIDADES DE ASSISTÊNCIA SOCIAL PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES;6.440.952.891.159.460;-0.1856769318090135;0.669165194718369;6.521.803.274.304.380;0.15665272116881745;44;;;;
SERVIÇOS MÓVEIS DE ATENDIMENTO A URGÊNCIAS E DE REMOÇÃO DE PACIENTES;6.240.149.664.994.670;-0.1856769318090135;25.999.122.959.575.900;26.188.629.712.832.600;14.642.661.721.472.500;148;;;;
INTERMEDIAÇÃO NÃO MONETÁRIA - OUTROS INSTRUMENTOS DE CAPTAÇÃO;62.063.583.736.223;-0.1856769318090135;1.727.363.125.205.250;3.967.545.675.993.890;1.403.578.433.544.090;101;;;;
FABRICAÇÃO DE CELULOSE E OUTRAS PASTAS PARA A FABRICAÇÃO DE PAPEL;6.091.480.917.894.570;-0.015975629712464978;0.6320354427714608;2.584.170.168.589.740;5.574.507.599.712.700;42;;;;
FABRICAÇÃO DE RESINAS E ELASTÔMEROS;5.826.936.101.817.250;1.961.922.657.133.000;0.5763408148510987;30.980.573.084.875.200;13.307.336.847.119.900;39;;;;
FABRICAÇÃO DE GERADORES; TRANSFORMADORES E MOTORES ELÉTRICOS;5.821.431.924.454.890;0.07892672528683925;2.005.836.264.807.060;27.749.805.834.041.100;14.794.450.912.220.300;116;;;
FABRICAÇÃO DE ARTEFATOS PARA PESCA E ESPORTE;5.615.983.232.813.760;-0.1476638852493004;28.041.259.316.655.800;10.294.989.478.863.300;16.882.794.444.844.100;159;;;;
FABRICAÇÃO DE LÂMPADAS E OUTROS EQUIPAMENTOS DE ILUMINAÇÃO;5.570.744.769.480.450;-0.13346687758643971;2.934.080.063.479.760;0.8516983340820351;16.538.448.876.646.700;166;;;;
FABRICAÇÃO DE TANQUES; RESERVATÓRIOS METÁLICOS E CALDEIRAS;54.617.648.235.295.200;-0.10496562052848875;16.902.333.732.583.400;2.109.312.431.722.170;20.455.270.065.285.700;99;;;
FABRICAÇÃO DE PRODUTOS DO FUMO;5.298.732.434.927.370;-0.120517549592456;15.231.494.894.972.500;2.352.162.050.576.820;20.136.486.635.696.900;90;;;;
FABRICAÇÃO DE EQUIPAMENTOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE;5.233.937.925.318.670;-0.0662766912673548;20.986.606.446.743.300;19.748.778.212.847.800;15.845.042.902.671.200;121;;;;
FABRICAÇÃO DE BRINQUEDOS E JOGOS RECREATIVOS;5.210.002.053.885.990;-0.16111058955747434;408.510.237.383.392;0.5915023138806269;11.700.099.268.447.700;228;;;;
FABRICAÇÃO DE PRODUTOS FARMACÊUTICOS;5.187.031.463.775.400;0.08429542557348166;1.096.157.342.107.810;3.991.396.977.845.690;10.138.499.444.059.900;67;;;;
HORTICULTURA E FLORICULTURA;5.109.321.416.002.050;-0.18147104710957382;5.310.384.188.081.880;48.261.925.426.585.400;0.08748894693829938;294;;;;
ATIVIDADES DE APOIO À GESTÃO DE SAÚDE;5.074.291.739.986.140;-0.1856769318090135;6.015.849.475.073.140;15.954.252.918.243.900;0.6091481170123874;332;;;;
ATIVIDADES DE APOIO À EDUCAÇÃO;4.636.160.286.445.710;-0.18566687706104001;9.116.183.762.639.970;23.803.499.527.653.000;0.2678179021299603;499;;;;
FABRICAÇÃO DE TECIDOS DE MALHA;42.669.362.540.044.400;-0.153096401877594;15.045.846.135.238.000;25.689.920.674.113.200;12.302.668.602.568.500;89;;;;
TRANSPORTE FERROVIÁRIO E METROFERROVIÁRIO;41.849.369.541.070.100;-0.17293802190202023;0.1864784194085629;4.184.375.692.828.400;0.930398722441442;18;;;;
TRANSPORTE AÉREO DE PASSAGEIROS;404.945.570.689.511;-0.16651765370243488;13.560.656.057.361.700;33.105.507.249.853.400;0.6676835042362663;81;;;;
ATIVIDADES DE TELEVISÃO;403.989.969.230.395;-0.182425823473395;1.560.279.241.444.160;3.119.740.310.170.970;0.7066588956127087;92;;;;
;39.920.467.261.206.900;-0.1856769318090135;7.034.314.472.309.150;-0.06549263712792891;0.06032167472411441;3797;;;;
FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E PERIFÉRICOS;38.393.132.623.807.800;-0.035964080862955015;1.096.157.342.107.810;25.516.456.660.645.600;12.075.197.841.889.600;67;;;;
TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS;3.744.885.455.068.150;-0.18141119647562096;16.531.036.213.114.300;16.799.889.983.898.500;1.358.842.618.330.170;97;;;;
FABRICAÇÃO DE BIOCOMBUSTÍVEIS;36.903.213.484.567.600;0.7760538186715815;0.7062949466652771;22.394.104.418.228.700;0.9554890505002076;46;;;;
PRESERVAÇÃO DO PESCADO E FABRICAÇÃO DE PRODUTOS DO PESCADO;3.246.940.797.911.220;-0.15016957744219034;1.151.851.970.028.170;2.319.637.548.051.640;0.9354264743545215;70;;;;
FABRICAÇÃO DE PAPEL; CARTOLINA E PAPEL-CARTÃO;30.979.955.622.672.100;0.2989195657020895;0.7434246986121854;19.445.216.189.279.400;11.494.834.369.001.300;48;;;
ATIVIDADES AUXILIARES DOS TRANSPORTES AÉREOS;3.087.478.322.745.420;-0.18567595126296949;23.214.391.563.557.800;18.122.553.086.589.000;0.6293074541065403;133;;;;
FABRICAÇÃO DE APARELHOS DE RECEPÇÃO; REPRODUÇÃO; GRAVAÇÃO E AMPLIFICAÇÃO DE ÁUDIO E VÍDEO;2.948.262.639.903.780;0.05393943018027608;0.7619895745856394;17.363.648.027.668.200;1.519.651.246.654.350;49;;
CONSTRUÇÃO DE EMBARCAÇÕES;2.924.954.994.676.200;-0.16418411350779236;1.151.851.970.028.170;17.060.086.004.099.900;1.200.788.420.529.570;70;;;;
FABRICAÇÃO DE DEFENSIVOS AGRÍCOLAS E DESINFESTANTES DOMISSANITÁRIOS;29.118.505.093.982.400;-0.1086437001354792;0.8176842025060017;1.666.979.197.379.780;16.553.028.761.051.600;52;;;;
ATIVIDADES DE EXPLORAÇÃO DE JOGOS DE AZAR E APOSTAS;27.262.189.072.936.100;-0.1856769318090135;16.345.387.453.379.800;0.010397868764148496;17.751.172.791.798.900;96;;;;
ATIVIDADES DE GRAVAÇÃO DE SOM E DE EDIÇÃO DE MÚSICA;27.127.095.460.765.500;-0.1855710226566382;3.323.942.458.922.300;0.1144762768447118;0.8375007468664338;187;;;;
PREPARAÇÃO E FIAÇÃO DE FIBRAS TÊXTEIS;26.249.199.440.004.300;-0.13467651023195207;0.7991193265325476;23.456.571.500.717.800;0.5179943600622424;51;;;;
TRANSPORTE POR NAVEGAÇÃO INTERIOR;2.608.343.894.745.240;-0.17981560479170433;16.345.387.453.379.800;17.233.550.017.567.500;0.6514403533212176;96;;;;
TECELAGEM; EXCETO MALHA;2.602.960.660.410.490;-0.14704258167798576;14.488.899.856.034.400;18.035.821.079.855.200;0.6532042760367253;86;;;
PESQUISAS DE MERCADO E DE OPINIÃO PÚBLICA;22.921.434.574.799.500;-0.1856769318090135;25.627.825.440.106.800;0.12531777768643715;0.9179485856497728;146;;;;
FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS DE USO NA EXTRAÇÃO MINERAL E NA CONSTRUÇÃO;21.178.669.487.376.700;0.1216275791143026;0.6134705667980068;13.330.609.714.546.400;10.810.272.473.709.300;41;;;;
EXTRAÇÃO DE CARVÃO MINERAL;16.961.338.920.492.500;-0.1117462154115157;0.24217304732892517;11.856.165.600.071.700;25.694.995.967.425.700;21;;;;
FABRICAÇÃO DE EQUIPAMENTOS DE COMUNICAÇÃO;16.724.130.172.224.200;-0.02829311651132756;0.5020813109572823;11.075.577.539.467.500;11.813.791.249.391.100;35;;;;
FABRICAÇÃO DE CIMENTO;15.140.746.404.546.600;0.6754101992314471;0.03795941162093028;0.8083323307151338;0.7990669299879732;10;;;;
FABRICAÇÃO E REFINO DE AÇÚCAR;14.741.160.299.435.600;-0.17805650469100895;13.375.007.297.627.100;0.051595571962704805;11.966.924.032.675.600;80;;;;
PRODUÇÃO DE TUBOS DE AÇO; EXCETO TUBOS SEM COSTURA;1.465.470.725.699.070;-0.09489721974187737;0.14934866746165476;1.447.980.880.376.920;0.7525146824151002;16;;;
FABRICAÇÃO DE INSTRUMENTOS MUSICAIS;13.384.481.759.288.200;-0.1850341991918086;12.075.465.979.485.300;0.07327857364615549;12.009.505.918.348.600;73;;;;
EXTRAÇÃO DE OUTROS MINERAIS NÃO METÁLICOS;12.469.475.397.077.400;-0.17519120844535419;1.560.279.241.444.160;0.7476199260014718;0.4323064770940033;92;;;;
FUNDOS DE INVESTIMENTO;10.942.652.499.861.300;-0.1856769318090135;8.225.069.715.914.170;-0.06549263712792891;0.1635773148913107;451;;;;
REPRODUÇÃO DE MATERIAIS GRAVADOS EM QUALQUER SUPORTE;10.716.678.077.687.200;-0.18567690032006198;0.9662032102936343;0.23373278610369058;1.059.416.809.093.410;60;;;;
OUTROS TRANSPORTES AQUAVIÁRIOS;10.272.002.040.627.200;-0.18115255301410904;26.184.771.719.310.400;0.22072298509362018;0.37717715570339044;149;;;;
PREVIDÊNCIA COMPLEMENTAR;10.109.558.368.144.000;-0.1856769318090135;0.0008296596740221152;1.196.458.060.848.900;0.21057763802035998;8;;;;
PRODUÇÃO FLORESTAL - FLORESTAS NATIVAS;0.9155228177580381;-0.18487675737490278;1.096.157.342.107.810;0.7324418248230563;0.33567968408835774;67;;;;
ATIVIDADES DE INVESTIGAÇÃO PARTICULAR;0.8045737051467707;-0.1856769318090135;0.6134705667980068;-0.054651136286203564;1.703.263.090.022.100;41;;;;
ATIVIDADES LIGADAS AO PATRIMÔNIO CULTURAL E AMBIENTAL;0.7635066118335236;-0.18527985803032893;10.590.275.901.609.000;0.40069189906626085;0.5175451290313563;65;;;;
FABRICAÇÃO DE PILHAS; BATERIAS E ACUMULADORES ELÉTRICOS;0.7521455184883266;-0.155888972489479;0.24217304732892517;0.5676510120288311;1.405.538.240.953.200;21;;;
FABRICAÇÃO DE FIBRAS ARTIFICIAIS E SINTÉTICAS;0.694643017142255;-0.1702855023382144;0.24217304732892517;0.2749304893022469;2.436.266.284.318.880;21;;;;
FABRICAÇÃO DE APARELHOS ELETROMÉDICOS E ELETROTERAPÊUTICOS E EQUIPAMENTOS DE IRRADIAÇÃO;0.6820701264591138;-0.15647846032089904;0.16791354343510884;0.7259369243180211;0.6706526475365054;17;;;;
PRODUÇÃO E DISTRIBUIÇÃO DE COMBUSTÍVEIS GASOSOS POR REDES URBANAS;0.6603021605165209;0.13797525063293725;0.05652428759438436;0.4874239058000636;0.6174868462559391;11;;;;
PESQUISA E DESENVOLVIMENTO EXPERIMENTAL EM CIÊNCIAS SOCIAIS E HUMANAS;0.6105614112524848;-0.1856769318090135;0.9847680862670884;0.13832757869650755;0.6680870080374969;61;;;;
SEGURIDADE SOCIAL OBRIGATÓRIA;0.576876158704728;-0.1856769318090135;-0.14768934811361054;0.910242438627352;;;;;;
ATIVIDADES DE ADMINISTRAÇÃO DE FUNDOS POR CONTRATO OU COMISSÃO;0.5090087486864748;-0.1856769318090135;23.028.742.803.823.200;0.5091069074835143;0.08058571611697529;132;;;;
NAVEGAÇÃO DE APOIO;0.3793806397221179;-0.18527549622238534;0.4463866830369201;0.2836036899756272;0.629616555890021;32;;;;
TRANSPORTE MARÍTIMO DE CABOTAGEM E LONGO CURSO;0.338489914135245;-0.10129929503227163;0.6877300706918231;-0.0004436320775768473;0.6401244616252428;45;;;;
TORREFAÇÃO E MOAGEM DE CAFÉ;0.21474922303939573;-0.1830695027045841;0.650600318744915;0.23590108627203565;0.24887420864518248;43;;;;
ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS; EXCETO PETRÓLEO E GÁS NATURAL;0.20068528354842755;-0.1801428417764662;0.48351643498382824;0.13182267819147234;0.5149885900812238;34;;;
AQÜICULTURA;0.1539404374729556;-0.18528910406420943;14.303.251.096.299.800;0.09712987549795124;0.16926198415257004;85;;;;
PESCA;0.08210628410242508;-0.17913373995861817;0.3721271791431037;0.24023768660872577;0.05643860118113252;28;;;;
SOCIEDADES DE CAPITALIZAÇÃO;0.041680446878140334;-0.1856769318090135;0.05652428759438436;0.14483247920154277;14.599.900.856.390.400;11;;;;
TRANSPORTE DUTOVIÁRIO;0.002500617871490106;-0.18349191260225786;0.03795941162093028;0.15350567987492303;0.8558312474188129;10;;;;
OPERADORAS DE TELEVISÃO POR ASSINATURA;-0.03438522626905255;-0.18381954862804353;0.2236081713554711;-0.01345343308764726;0.7284517129192686;20;;;;
EXTRAÇÃO DE MINERAIS METÁLICOS NÃO FERROSOS;-0.06279295592464144;-0.18297433608041402;0.3164325512227415;0.06894197330946535;0.16192836877341063;25;;;;
FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS;-0.07401393753998266;-0.18459595926433287;0.0008296596740221152;0.11013967650802166;0.5331646579664433;8;;;;
BANCO CENTRAL;-0.08445539264051799;-0.1856769318090135;-0.14768934811361054;0.24891088728210606;;;;;;
FABRICAÇÃO DE EQUIPAMENTOS E INSTRUMENTOS ÓPTICOS; FOTOGRÁFICOS E CINEMATOGRÁFICOS;-0.08939662729692899;-0.17868813623124297;0.05652428759438436;0.0060612684274583585;1.472.468.633.379.540;11;;;
FABRICAÇÃO DE VEÍCULOS FERROVIÁRIOS;-0.18310812462842635;-0.1848565051380907;-0.11055959616670237;0.11230797667636673;0.2796734254957906;2;;;;
TRENS TURÍSTICOS; TELEFÉRICOS E SIMILARES;-0.18364127256335416;-0.1856583021580605;-0.0734298442197942;0.07544687381450056;12.047.470.636.741.700;4;;;
TELECOMUNICAÇÕES POR SATÉLITE;-0.19758250462977153;-0.15738321331821173;0.05652428759438436;-0.06549263712792891;0.44747748079326494;11;;;;
DESCONTAMINAÇÃO E OUTROS SERVIÇOS DE GESTÃO DE RESÍDUOS;-0.20750168490419754;-0.1856769318090135;0.05652428759438436;-0.06549263712792891;0.772550807647565;11;;;;
FABRICAÇÃO DE AERONAVES;-0.24077746020562352;-0.18465568231374072;0.0008296596740221152;-0.056819436454548636;0.8408972793430483;8;;;;
PRODUÇÃO E DISTRIBUIÇÃO DE VAPOR; ÁGUA QUENTE E AR CONDICIONADO;-0.24376951093349825;-0.18534278489958467;-0.036300092272886046;-0.022126633761027536;11.894.971.008.428.500;6;;;
